shot_number,club,ball_speed_of,ball_speed_tm,spin_tm,expected_spin_rpm,env_rpm,env_detected,env_confidence,env_rejection_reason,env_error_rpm,freq_hop32_rpm,freq_hop32_detected,freq_hop32_snr,freq_hop32_persistent,freq_hop32_n_windows,freq_hop32_rejection_reason,freq_hop32_error_rpm,mag_hop32_rpm,mag_hop32_detected,mag_hop32_snr,mag_hop32_persistent,mag_hop32_n_windows,mag_hop32_rejection_reason,mag_hop32_error_rpm,freq_hop16_rpm,freq_hop16_detected,freq_hop16_snr,freq_hop16_persistent,freq_hop16_n_windows,freq_hop16_rejection_reason,freq_hop16_error_rpm,mag_hop16_rpm,mag_hop16_detected,mag_hop16_snr,mag_hop16_persistent,mag_hop16_n_windows,mag_hop16_rejection_reason,mag_hop16_error_rpm
24,8-iron,110.583,114.043,5034.428,8384,,False,0.5,,,,False,9.38,False,69,Seam tone not persistent across track halves,,2602,True,13.6,True,69,,-2432.0,,False,9.42,False,137,Seam tone not persistent across track halves,,2609,True,13.6,True,137,,-2425.2
25,8-iron,109.259,112.88,5301.396,8421,3076,True,0.5,,-2225.4,,False,8.14,False,66,Seam tone not persistent across track halves,,3008,True,10.61,True,66,,-2293.9,,False,8.1,False,131,Seam tone not persistent across track halves,,3008,True,10.62,True,131,,-2293.9
26,8-iron,109.055,112.65,5882.592,8426,3076,True,0.5,,-2806.6,3076,True,7.24,True,67,,-2806.4,3076,True,14.03,True,67,,-2806.4,3076,True,7.26,True,133,,-2806.4,3076,True,14.05,True,133,,-2806.4
27,8-iron,102.335,105.633,5930.343,8615,,False,0.5,,,,False,10.22,False,67,Seam tone not persistent across track halves,,2245,True,38.6,True,67,,-3685.0,2403,True,8.65,True,113,,-3527.1,2403,True,31.53,True,113,,-3527.1
28,8-iron,107.833,111.094,5428.145,8461,,False,0.5,,,,False,7.14,False,67,Seam tone not persistent across track halves,,2527,True,24.07,True,67,,-2901.3,,False,7.15,False,133,Seam tone not persistent across track halves,,2527,True,24.03,True,133,,-2901.3
29,7-iron,120.256,123.217,4090.35,7244,,False,0.5,,,,False,5.35,True,66,Peak at lower rail of seam band,,,False,68.98,True,66,Peak at lower rail of seam band,,,False,5.33,True,131,Peak at lower rail of seam band,,,False,68.93,True,131,Peak at lower rail of seam band,
30,7-iron,115.776,119.104,4525.285,7356,,False,0.5,,,,False,10.56,False,66,Seam tone not persistent across track halves,,2383,True,27.49,True,66,,-2142.6,,False,10.53,False,131,Seam tone not persistent across track halves,,2390,True,27.49,True,131,,-2135.8
31,7-iron,114.961,118.272,4311.373,7376,,False,0.5,,,2094,True,9.29,True,66,,-2217.1,2142,True,59.56,True,66,,-2169.0,2101,True,9.35,True,131,,-2210.2,2142,True,59.55,True,131,,-2169.0
32,7-iron,113.026,115.727,3441.965,7424,,False,0.5,,,,False,1.65,False,57,SNR 1.65 below 2.5,,,False,10.09,True,57,Peak at lower rail of seam band,,,False,1.66,False,113,SNR 1.66 below 2.5,,,False,10.04,True,113,Peak at lower rail of seam band,
33,7-iron,115.776,119.12,4582.226,7356,,False,0.5,,,2211,True,10.75,True,66,,-2371.2,2218,True,33.45,True,66,,-2364.4,2321,True,8.69,True,115,,-2261.4,2362,True,32.41,True,115,,-2220.2
34,7-iron,108.75,111.471,4965.122,7531,,False,0.5,,,,False,7.29,True,67,Peak at lower rail of seam band,,,False,49.2,True,67,Peak at lower rail of seam band,,,False,7.33,True,133,Peak at lower rail of seam band,,,False,49.17,True,133,Peak at lower rail of seam band,
35,7-iron,116.183,119.26,4150.425,7345,,False,0,"Too few seam cycles (1.9, need 2)",,,False,3.43,False,42,Seam tone not persistent across track halves,,,False,35.18,True,42,"Too few seam cycles (2.0, need 2)",,,False,3.5,False,84,Seam tone not persistent across track halves,,,False,35.37,True,84,"Too few seam cycles (2.0, need 2)",
36,6-iron,113.943,116.764,3971.055,6513,,False,0.5,,,,False,8.32,True,67,Peak at lower rail of seam band,,,False,57.23,True,67,Peak at lower rail of seam band,,,False,8.27,True,133,Peak at lower rail of seam band,,,False,56.81,True,133,Peak at lower rail of seam band,
37,6-iron,121.682,124.292,3805.975,6343,,False,0,"Too few seam cycles (1.9, need 2)",,,False,8.48,False,48,Seam tone not persistent across track halves,,,False,49.26,True,48,"Too few seam cycles (1.9, need 2)",,,False,8.48,False,95,Seam tone not persistent across track halves,,,False,49.4,True,95,"Too few seam cycles (1.9, need 2)",
38,6-iron,118.118,120.86,3869.994,6421,,False,0,"Too few seam cycles (1.9, need 2)",,,False,5.98,False,47,"Too few seam cycles (1.9, need 2)",,,False,40.29,True,47,"Too few seam cycles (1.8, need 2)",,,False,5.92,False,91,"Too few seam cycles (1.9, need 2)",,,False,38.58,True,91,"Too few seam cycles (1.8, need 2)",
39,6-iron,119.441,122.026,3811.944,6392,,False,0.5,,,,False,9.25,True,66,Peak at lower rail of seam band,,,False,57.68,True,66,Peak at lower rail of seam band,,,False,9.21,True,131,Peak at lower rail of seam band,,,False,57.81,True,131,Peak at lower rail of seam band,
40,6-iron,119.951,122.683,3490.086,6381,,False,0,"Too few seam cycles (1.9, need 2)",,2376,True,6.05,True,48,,-1114.3,,False,41.01,True,48,"Too few seam cycles (1.9, need 2)",,2444,True,5.98,True,94,,-1045.6,,False,39.3,True,94,"Too few seam cycles (1.9, need 2)",
41,6-iron,121.885,124.602,3651.521,6339,,False,0.5,,,,False,2.38,False,58,SNR 2.38 below 2.5,,,False,32.36,True,58,Peak at lower rail of seam band,,,False,2.36,False,115,SNR 2.36 below 2.5,,,False,32.23,True,115,Peak at lower rail of seam band,
42,5-iron,125.245,127.974,3046.683,5695,,False,0.5,,,,False,1.37,False,64,SNR 1.37 below 2.5,,,False,27.66,True,64,Peak at lower rail of seam band,,,False,1.38,False,127,SNR 1.38 below 2.5,,,False,27.14,True,127,Peak at lower rail of seam band,
43,5-iron,110.481,112.857,4344.768,5990,,False,0.5,,,,False,5.59,False,65,Peak at lower rail of seam band,,,False,41.32,True,65,Peak at lower rail of seam band,,,False,5.47,False,129,Peak at lower rail of seam band,,,False,40.26,True,129,Peak at lower rail of seam band,
44,5-iron,126.467,127.706,2606.666,5671,3076,True,0.3,,469.3,,False,1.59,False,42,SNR 1.59 below 2.5,,,False,6.12,False,42,Seam tone not persistent across track halves,,,False,1.56,False,85,SNR 1.56 below 2.5,,,False,5.66,False,85,Seam tone not persistent across track halves,
45,5-iron,113.026,115.139,3312.935,5939,,False,0.5,,,,False,6.9,False,68,Peak at lower rail of seam band,,,False,33.23,True,68,Peak at lower rail of seam band,,,False,6.88,False,135,Peak at lower rail of seam band,,,False,32.23,True,135,Peak at lower rail of seam band,
46,5-iron,119.136,121.063,2659.114,5817,,False,0.5,,,,False,1.81,False,64,SNR 1.81 below 2.5,,,False,17.18,True,64,Peak at lower rail of seam band,,,False,1.82,False,127,SNR 1.82 below 2.5,,,False,16.81,True,127,Peak at lower rail of seam band,
47,5-iron,116.896,119.104,2822.111,5862,,False,0,"Lower-rail peak at 2417 RPM (mod 0.8029, SNR 4.6, envelope-drift leakage suspected)",,,False,1.63,False,66,SNR 1.63 below 2.5,,,False,8.46,True,66,Peak at lower rail of seam band,,,False,1.62,False,131,SNR 1.62 below 2.5,,,False,8.27,True,131,Peak at lower rail of seam band,
48,5-iron,128.097,130.826,2936.151,5638,,False,0.5,,,,False,4.75,False,65,Peak at lower rail of seam band,,,False,27.14,True,65,Peak at lower rail of seam band,,,False,4.73,False,129,Peak at lower rail of seam band,,,False,27.2,True,129,Peak at lower rail of seam band,
49,3-wood,140.927,142.177,2338.225,3097,,False,0,"Lower-rail peak at 2417 RPM (mod 0.6577, SNR 4.8, envelope-drift leakage suspected)",,,False,1.69,False,65,SNR 1.69 below 2.5,,,False,8.68,True,65,Peak at lower rail of seam band,,,False,1.69,False,129,SNR 1.69 below 2.5,,,False,8.73,True,129,Peak at lower rail of seam band,
50,3-wood,139.094,143.596,2548.342,3115,,False,0.5,,,,False,7.25,False,56,"Too few seam cycles (2.0, need 2)",,,False,20.5,True,56,"Too few seam cycles (2.0, need 2)",,,False,7.34,False,111,"Too few seam cycles (2.0, need 2)",,,False,20.63,True,111,"Too few seam cycles (2.0, need 2)",
51,3-wood,142.861,142.171,3095.315,3080,,False,0.5,,,,False,3.62,False,66,Seam tone not persistent across track halves,,,False,22.68,True,66,Peak at lower rail of seam band,,,False,3.63,False,131,Seam tone not persistent across track halves,,,False,22.63,True,131,Peak at lower rail of seam band,
52,3-wood,141.945,145.46,3261.775,3088,,False,0.5,,,,False,1.23,False,65,SNR 1.23 below 2.5,,,False,20.2,True,65,Peak at lower rail of seam band,,,False,1.23,False,129,SNR 1.23 below 2.5,,,False,20.06,True,129,Peak at lower rail of seam band,
53,3-wood,143.472,145.828,3585.225,3075,,False,0.5,,,,False,2.15,False,67,SNR 2.15 below 2.5,,,False,47.55,True,67,Peak at lower rail of seam band,,,False,2.2,False,133,SNR 2.20 below 2.5,,,False,48.12,True,133,Peak at lower rail of seam band,
54,driver,151.211,153.668,1694.151,2616,,False,0,"Too few seam cycles (1.7, need 2)",,,False,1.26,False,43,"Too few seam cycles (2.0, need 2)",,,False,13.76,True,43,"Too few seam cycles (1.8, need 2)",,,False,1.36,False,86,"Too few seam cycles (1.9, need 2)",,,False,14.39,True,86,"Too few seam cycles (1.8, need 2)",
55,driver,146.934,148.792,1480.247,2648,,False,0,"Lower-rail peak at 2417 RPM (mod 0.4934, SNR 1.9, envelope-drift leakage suspected)",,,False,2.1,False,65,SNR 2.10 below 2.5,,,False,3.86,True,65,Peak at lower rail of seam band,,,False,2.1,False,129,SNR 2.10 below 2.5,,,False,3.87,True,129,Peak at lower rail of seam band,
56,driver,140.316,142.54,1742.169,2698,,False,0.5,,,,False,9.37,True,65,Peak at lower rail of seam band,,,False,34.98,True,65,Peak at lower rail of seam band,,,False,9.18,True,128,Peak at lower rail of seam band,,,False,33.76,True,128,Peak at lower rail of seam band,
57,driver,147.749,149.011,2699.536,2642,,False,0,"Lower-rail peak at 2417 RPM (mod 0.4600, SNR 3.9, envelope-drift leakage suspected)",,,False,0.99,False,50,"Too few seam cycles (1.8, need 2)",,,False,2.7,True,50,"Too few seam cycles (1.8, need 2)",,,False,0.85,False,99,"Too few seam cycles (1.9, need 2)",,,False,3.03,True,99,"Too few seam cycles (1.8, need 2)",
58,driver,149.582,151.744,1685.177,2628,,False,0.5,,,,False,1.34,False,54,SNR 1.34 below 2.5,,,False,15.72,True,54,"Too few seam cycles (1.9, need 2)",,,False,1.36,False,108,SNR 1.36 below 2.5,,,False,16.36,True,108,"Too few seam cycles (1.9, need 2)",
59,driver,151.109,153.238,1846.4,2617,,False,0,"Too few seam cycles (1.9, need 2)",,,False,2.28,False,48,SNR 2.28 below 2.5,,,False,10.26,True,48,"Too few seam cycles (1.9, need 2)",,,False,2.37,False,95,SNR 2.37 below 2.5,,,False,10.72,True,95,"Too few seam cycles (1.8, need 2)",
60,driver,152.637,154.965,1107.565,2605,,False,0.5,,,,False,2.32,False,51,"Too few seam cycles (2.0, need 2)",,,False,20.98,True,51,"Too few seam cycles (1.8, need 2)",,,False,2.41,False,102,"Too few seam cycles (1.9, need 2)",,,False,21.86,True,102,"Too few seam cycles (1.8, need 2)",
61,driver,158.339,160.524,1481.579,2562,,False,0.5,,,,False,1.76,False,65,SNR 1.76 below 2.5,,,False,29.09,True,65,Peak at lower rail of seam band,,,False,1.77,False,129,SNR 1.77 below 2.5,,,False,29.36,True,129,Peak at lower rail of seam band,
62,driver,150.193,152.764,2111.881,2624,,False,0.5,,,,False,1.78,False,54,"Too few seam cycles (1.9, need 2)",,,False,11.56,True,54,"Too few seam cycles (1.9, need 2)",,,False,1.83,False,106,"Too few seam cycles (1.9, need 2)",,,False,11.55,True,106,"Too few seam cycles (1.9, need 2)",
63,driver,142.963,145.359,1530.693,2678,,False,0.5,,,,False,4.46,True,68,Peak at lower rail of seam band,,,False,20.1,True,68,Peak at lower rail of seam band,,,False,4.41,True,135,Peak at lower rail of seam band,,,False,19.98,True,135,Peak at lower rail of seam band,
64,driver,155.589,156.808,899.471,2583,,False,0,"Lower-rail peak at 2417 RPM (mod 0.5013, SNR 1.5, envelope-drift leakage suspected)",,,False,1.97,False,66,SNR 1.97 below 2.5,,,False,3.0,False,66,Peak at lower rail of seam band,,,False,1.96,False,131,SNR 1.96 below 2.5,,,False,3.01,False,131,Peak at lower rail of seam band,
